Code,Subdivision name,Subdivision category,Parent subdivision
DJ-AR,Arta,region,DJ
DJ-AS,Ali Sabieh,region,DJ
DJ-DI,Dikhil,region,DJ
DJ-DJ,Djibouti,city,DJ
DJ-OB,Obock,region,DJ
DJ-TA,Tadjourah,region,DJ
DK-81,North Denmark Region,region,DK
DK-82,Central Denmark Region,region,DK
DK-83,Region of Southern Denmark,region,DK
DK-84,Capital Region of Denmark,region,DK
DK-85,Region Zealand,region,DK
DM-02,Saint Andrew,parish,DM
DM-03,Saint David,parish,DM
DM-04,Saint George,parish,DM
DM-05,Saint John,parish,DM
DM-06,Saint Joseph,parish,DM
DM-07,Saint Luke,parish,DM
DM-08,Saint Mark,parish,DM
DM-09,Saint Patrick,parish,DM
DM-10,Saint Paul,parish,DM
DM-11,Saint Peter,parish,DM
DO-01,Distrito Nacional (Santo Domingo),district,DO
DO-02,Azua,province,DO
DO-03,Baoruco,province,DO
DO-04,Barahona,province,DO
DO-05,Dajabón,province,DO
DO-06,Duarte,province,DO
DO-07,Elías Piña,province,DO
DO-08,El Seibo,province,DO
DO-09,Espaillat,province,DO
DO-10,Independencia,province,DO
DO-11,La Altagracia,province,DO
DO-12,La Romana,province,DO
DO-13,La Vega,province,DO
DO-14,María Trinidad Sánchez,province,DO
DO-15,Monte Cristi,province,DO
DO-16,Pedernales,province,DO
DO-17,Peravia,province,DO
DO-18,Puerto Plata,province,DO
DO-19,Hermanas Mirabal,province,DO
DO-20,Samaná,province,DO
DO-21,San Cristóbal,province,DO
DO-22,San Juan,province,DO
DO-23,San Pedro de Macorís,province,DO
DO-24,Sánchez Ramírez,province,DO
DO-25,Santiago,province,DO
DO-26,Santiago Rodríguez,province,DO
DO-27,Valverde,province,DO
DO-28,Monseñor Nouel,province,DO
DO-29,Monte Plata,province,DO
DO-30,Hato Mayor,province,DO
DO-31,San José de Ocoa,province,DO
DO-32,Santo Domingo,province,DO
DZ-01,Adrar,province,DZ
DZ-02,Chlef,province,DZ
DZ-03,Laghouat,province,DZ
DZ-04,Oum el Bouaghi,province,DZ
DZ-05,Batna,province,DZ
DZ-06,Béjaïa,province,DZ
DZ-07,Biskra,province,DZ
DZ-08,Béchar,province,DZ
DZ-09,Blida,province,DZ
DZ-10,Bouira,province,DZ
DZ-11,Tamanrasset,province,DZ
DZ-12,Tébessa,province,DZ
DZ-13,Tlemcen,province,DZ
DZ-14,Tiaret,province,DZ
DZ-15,Tizi Ouzou,province,DZ
DZ-16,Alger,province,DZ
DZ-17,Djelfa,province,DZ
DZ-18,Jijel,province,DZ
DZ-19,Sétif,province,DZ
DZ-20,Saïda,province,DZ
DZ-21,Skikda,province,DZ
DZ-22,Sidi Bel Abbès,province,DZ
DZ-23,Annaba,province,DZ
DZ-24,Guelma,province,DZ
DZ-25,Constantine,province,DZ
DZ-26,Médéa,province,DZ
DZ-27,Mostaganem,province,DZ
DZ-28,M'sila,province,DZ
DZ-29,Mascara,province,DZ
DZ-30,Ouargla,province,DZ
DZ-31,Oran,province,DZ
DZ-32,El Bayadh,province,DZ
DZ-33,Illizi,province,DZ
DZ-34,Bordj Bou Arréridj,province,DZ
DZ-35,Boumerdès,province,DZ
DZ-36,El Tarf,province,DZ
DZ-37,Tindouf,province,DZ
DZ-38,Tissemsilt,province,DZ
DZ-39,El Oued,province,DZ
DZ-40,Khenchela,province,DZ
DZ-41,Souk Ahras,province,DZ
DZ-42,Tipaza,province,DZ
DZ-43,Mila,province,DZ
DZ-44,Aïn Defla,province,DZ
DZ-45,Naama,province,DZ
DZ-46,Aïn Témouchent,province,DZ
DZ-47,Ghardaïa,province,DZ
DZ-48,Relizane,province,DZ
EC-A,Azuay,province,EC
EC-B,Bolívar,province,EC
EC-C,Carchi,province,EC
EC-D,Orellana,province,EC
EC-E,Esmeraldas,province,EC
EC-F,Cañar,province,EC
EC-G,Guayas,province,EC
EC-H,Chimborazo,province,EC
EC-I,Imbabura,province,EC
EC-L,Loja,province,EC
EC-M,Manabí,province,EC
EC-N,Napo,province,EC
EC-O,El Oro,province,EC
EC-P,Pichincha,province,EC
EC-R,Los Ríos,province,EC
EC-S,Morona Santiago,province,EC
EC-SD,Santo Domingo de los Tsáchilas,province,EC
EC-SE,Santa Elena,province,EC
EC-T,Tungurahua,province,EC
EC-U,Sucumbíos,province,EC
EC-W,Galápagos,province,EC
EC-X,Cotopaxi,province,EC
EC-Y,Pastaza,province,EC
EC-Z,Zamora Chinchipe,province,EC
EE-37,Harju,county,EE
EE-39,Hiiu,county,EE
EE-44,Ida-Viru,county,EE
EE-49,Jõgeva,county,EE
EE-51,Järva,county,EE
EE-57,Lääne,county,EE
EE-59,Lääne-Viru,county,EE
EE-65,Põlva,county,EE
EE-67,Pärnu,county,EE
EE-70,Rapla,county,EE
EE-74,Saare,county,EE
EE-78,Tartu,county,EE
EE-82,Valga,county,EE
EE-84,Viljandi,county,EE
EE-86,Võru,county,EE
EG-ALX,Alexandria,governorate,EG
EG-ASN,Aswan,governorate,EG
EG-AST,Asyut,governorate,EG
EG-BA,Red Sea,governorate,EG
EG-BH,Beheira,governorate,EG
EG-BNS,Beni Suef,governorate,EG
EG-C,Cairo,governorate,EG
EG-DK,Dakahlia,governorate,EG
EG-DT,Damietta,governorate,EG
EG-FYM,Faiyum,governorate,EG
EG-GH,Gharbia,governorate,EG
EG-GZ,Giza,governorate,EG
EG-IS,Ismailia,governorate,EG
EG-JS,South Sinai,governorate,EG
EG-KB,Qalyubia,governorate,EG
EG-KFS,Kafr el-Sheikh,governorate,EG
EG-KN,Qena,governorate,EG
EG-LX,Luxor,governorate,EG
EG-MN,Minya,governorate,EG
EG-MNF,Monufia,governorate,EG
EG-MT,Matrouh,governorate,EG
EG-PTS,Port Said,governorate,EG
EG-SHG,Sohag,governorate,EG
EG-SHR,Al Sharqia,governorate,EG
EG-SIN,North Sinai,governorate,EG
EG-SUZ,Suez,governorate,EG
EG-WAD,New Valley,governorate,EG
EH,(No regions),,EH
ER-AN,Anseba,region,ER
ER-DK,Southern Red Sea,region,ER
ER-DU,Debub,region,ER
ER-GB,Gash-Barka,region,ER
ER-MA,Maekel,region,ER
ER-SK,Northern Red Sea,region,ER
ES-AN,Andalucía,autonomous community,ES
ES-AR,Aragón,autonomous community,ES
ES-AS,"Asturias, Principado de",autonomous community,ES
ES-CB,Cantabria,autonomous community,ES
ES-CE,Ceuta,autonomous city in north africa,ES
ES-CL,Castilla y León,autonomous community,ES
ES-CM,Castilla-La Mancha,autonomous community,ES
ES-CN,Canarias,autonomous community,ES
ES-CT,Catalunya (ca) [Cataluña],autonomous community,ES
ES-EX,Extremadura,autonomous community,ES
ES-GA,Galicia (gl) [Galicia],autonomous community,ES
ES-IB,Illes Balears (ca) [Islas Baleares],autonomous community,ES
ES-MC,"Murcia, Región de",autonomous community,ES
ES-MD,"Madrid, Comunidad de",autonomous community,ES
ES-ML,Melilla,autonomous city in north africa,ES
ES-NC,"Navarra, Comunidad Foral de Nafarroako Foru Komunitatea (eu)",autonomous community,ES
ES-PV,País Vasco Euskal Herria (eu),autonomous community,ES
ES-RI,La Rioja,autonomous community,ES
ES-VC,"Valenciana, Comunidad Valenciana, Comunitat (ca)",autonomous community,ES
ET-AA,Addis Ababa,administration,ET
ET-AF,Afar,state,ET
ET-AM,Amara,state,ET
ET-BE,Benshangul-Gumaz,state,ET
ET-DD,Dire Dawa,administration,ET
ET-GA,Gambela Peoples,state,ET
ET-HA,Harari People,state,ET
ET-OR,Oromia,state,ET
ET-SN,"Southern Nations, Nationalities and Peoples",state,ET
ET-SO,Somali,state,ET
ET-TI,Tigrai,state,ET
FI-01,Åland,region,FI
FI-02,South Karelia,region,FI
FI-03,Southern Ostrobothnia,region,FI
FI-04,Southern Savonia,region,FI
FI-05,Kainuu,region,FI
FI-06,Tavastia Proper,region,FI
FI-07,Central Ostrobothnia,region,FI
FI-08,Central Finland,region,FI
FI-09,Kymenlaakso,region,FI
FI-10,Lapland,region,FI
FI-11,Pirkanmaa,region,FI
FI-12,Ostrobothnia,region,FI
FI-13,North Karelia,region,FI
FI-14,Northern Ostrobothnia,region,FI
FI-15,Northern Savonia,region,FI
FI-16,Päijänne Tavastia,region,FI
FI-17,Satakunta,region,FI
FI-18,Uusimaa,region,FI
FI-19,Southwest Finland,region,FI
FJ-C,Central,division,FJ
FJ-E,Eastern,division,FJ
FJ-N,Northern,division,FJ
FJ-R,Rotuma,dependency,FJ
FJ-W,Western,division,FJ
FK,(No regions),,FK
FM-KSA,Kosrae,state,FM
FM-PNI,Pohnpei,state,FM
FM-TRK,Chuuk,state,FM
FM-YAP,Yap,state,FM
FO,(No regions),,FO
FR-A,Alsace,metropolitan region,FR
FR-ARA,Auvergne-Rhône-Alpes,metropolitan region,FR
FR-B,Aquitaine,metropolitan region,FR
FR-BFC,Bourgogne-Franche-Comté,metropolitan region,FR
FR-BRE,Bretagne,metropolitan region,FR
FR-C,Auvergne,metropolitan region,FR
FR-COR,Corse,metropolitan region,FR
FR-CVL,Centre-Val de Loire,metropolitan region,FR
FR-D,Burgundy,metropolitan region,FR
FR-E,Brittany,metropolitan region,FR
FR-F,Centre-Val de Loire,metropolitan region,FR
FR-G,Champagne-Ardenne,metropolitan region,FR
FR-GES,Grand Est,metropolitan region,FR
FR-GUA,Guadeloupe,overseas region,FR
FR-H,Corsica,metropolitan region,FR
FR-HDF,Hauts-de-France,metropolitan region,FR
FR-I,Franche-Comté,metropolitan region,FR
FR-IDF,Île-de-France,metropolitan region,FR
FR-J,Île-de-France,metropolitan region,FR
FR-K,Languedoc-Roussillon,metropolitan region,FR
FR-L,Limousin,metropolitan region,FR
FR-LRE,La Réunion,overseas region,FR
FR-M,Lorraine,metropolitan region,FR
FR-MAY,Mayotte,overseas region,FR
FR-N,Midi-Pyrénées,metropolitan region,FR
FR-NAQ,FlagNouvelleAquitaine.png Nouvelle-Aquitaine,metropolitan region,FR
FR-NOR,Normandie,metropolitan region,FR
FR-O,Nord-Pas-de-Calais,metropolitan region,FR
FR-OCC,Occitanie,metropolitan region,FR
FR-P,Lower Normandy,metropolitan region,FR
FR-PAC,Provence-Alpes-Côte d'Azur,metropolitan region,FR
FR-PDL,Pays de la Loire,metropolitan region,FR
FR-Q,Upper Normandy,metropolitan region,FR
FR-R,Pays de la Loire,metropolitan region,FR
FR-S,Picardy,metropolitan region,FR
FR-T,Poitou-Charentes,metropolitan region,FR
FR-U,Provence-Alpes-Côte d'Azur,metropolitan region,FR
FR-V,Rhône-Alpes,metropolitan region,FR
GA-1,Estuaire,province,GA
GA-2,Haut-Ogooué,province,GA
GA-3,Moyen-Ogooué,province,GA
GA-4,Ngounié,province,GA
GA-5,Nyanga,province,GA
GA-6,Ogooué-Ivindo,province,GA
GA-7,Ogooué-Lolo,province,GA
GA-8,Ogooué-Maritime,province,GA
GA-9,Woleu-Ntem,province,GA
GB-ENG,England,country,GB
GB-NIR,Northern Ireland,province,GB
GB-SCT,Scotland,country,GB
GB-WLS,Wales,country,GB
GD-01,Saint Andrew,parish,GD
GD-02,Saint David,parish,GD
GD-03,Saint George,parish,GD
GD-04,Saint John,parish,GD
GD-05,Saint Mark,parish,GD
GD-06,Saint Patrick,parish,GD
GD-10,Southern Grenadine Islands,dependency,GD
GE-AB,Abkhazia,autonomous republic,GE
GE-AJ,Ajaria,autonomous republic,GE
GE-GU,Guria,region,GE
GE-IM,Imereti,region,GE
GE-KA,K'akheti,region,GE
GE-KK,Kvemo Kartli,region,GE
GE-MM,Mtskheta-Mtianeti,region,GE
GE-RL,Rach'a-Lechkhumi-Kvemo Svaneti,region,GE
GE-SJ,Samtskhe-Javakheti,region,GE
GE-SK,Shida Kartli,region,GE
GE-SZ,Samegrelo-Zemo Svaneti,region,GE
GE-TB,Tbilisi,city,GE
GF,(No regions),,GF
GG,(No regions),,GG
GH-AA,Greater Accra,region,GH
GH-AH,Ashanti,region,GH
GH-BA,Brong-Ahafo,region,GH
GH-CP,Central,region,GH
GH-EP,Eastern,region,GH
GH-NP,Northern,region,GH
GH-TV,Volta,region,GH
GH-UE,Upper East,region,GH
GH-UW,Upper West,region,GH
GH-WP,Western,region,GH
GI,(No regions),,GI
GL-KU,Kommune Kujalleq,municipality,GL
GL-QA,Qaasuitsup Kommunia,municipality,GL
GL-QE,Qeqqata Kommunia,municipality,GL
GL-SM,Kommuneqarfik Sermersooq,municipality,GL
GM-B,Banjul,city,GM
GM-L,Lower River,division,GM
GM-M,Central River,division,GM
GM-N,North Bank,division,GM
GM-U,Upper River,division,GM
GM-W,Western,division,GM
GN-B,Boké,administrative region,GN
GN-C,Conakry,governorate,GN
GN-D,Kindia,administrative region,GN
GN-F,Faranah,administrative region,GN
GN-K,Kankan,administrative region,GN
GN-L,Labé,administrative region,GN
GN-M,Mamou,administrative region,GN
GN-N,Nzérékoré,administrative region,GN
GP,(No regions),,GP
GQ-AN,Annobón,province,GQ
GQ-BN,Bioko Norte,province,GQ
GQ-BS,Bioko Sur,province,GQ
GQ-CS,Centro Sur,province,GQ
GQ-KN,Kié-Ntem,province,GQ
GQ-LI,Litoral,province,GQ
GQ-WN,Wele-Nzas,province,GQ
GR,(No regions),,GR
GS,(No regions),,GS
GT-AV,Alta Verapaz,department,GT
GT-BV,Baja Verapaz,department,GT
GT-CM,Chimaltenango,department,GT
GT-CQ,Chiquimula,department,GT
GT-ES,Escuintla,department,GT
GT-GU,Guatemala,department,GT
GT-HU,Huehuetenango,department,GT
GT-IZ,Izabal,department,GT
GT-JA,Jalapa,department,GT
GT-JU,Jutiapa,department,GT
GT-PE,Petén,department,GT
GT-PR,El Progreso,department,GT
GT-QC,Quiché,department,GT
GT-QZ,Quetzaltenango,department,GT
GT-RE,Retalhuleu,department,GT
GT-SA,Sacatepéquez,department,GT
GT-SM,San Marcos,department,GT
GT-SO,Sololá,department,GT
GT-SR,Santa Rosa,department,GT
GT-SU,Suchitepéquez,department,GT
GT-TO,Totonicapán,department,GT
GT-ZA,Zacapa,department,GT
GU,(No regions),,GU
GW-BA,Bafatá,region,GW
GW-BL,Bolama,region,GW
GW-BM,Biombo,region,GW
GW-BS,Bissau,autonomous sector,GW
GW-CA,Cacheu,region,GW
GW-GA,Gabú,region,GW
GW-OI,Oio,region,GW
GW-QU,Quinara,region,GW
GW-TO,Tombali,region,GW
GY-BA,Barima-Waini,region,GY
GY-CU,Cuyuni-Mazaruni,region,GY
GY-DE,Demerara-Mahaica,region,GY
GY-EB,East Berbice-Corentyne,region,GY
GY-ES,Essequibo Islands-West Demerara,region,GY
GY-MA,Mahaica-Berbice,region,GY
GY-PM,Pomeroon-Supenaam,region,GY
GY-PT,Potaro-Siparuni,region,GY
GY-UD,Upper Demerara-Berbice,region,GY
GY-UT,Upper Takutu-Upper Essequibo,region,GY
HK,(No regions),,HK
HM,(No regions),,HM
HN-AT,Atlántida,department,HN
HN-CH,Choluteca,department,HN
HN-CL,Colón,department,HN
HN-CM,Comayagua,department,HN
HN-CP,Copán,department,HN
HN-CR,Cortés,department,HN
HN-EP,El Paraíso,department,HN
HN-FM,Francisco Morazán,department,HN
HN-GD,Gracias a Dios,department,HN
HN-IB,Islas de la Bahía,department,HN
HN-IN,Intibucá,department,HN
HN-LE,Lempira,department,HN
HN-LP,La Paz,department,HN
HN-OC,Ocotepeque,department,HN
HN-OL,Olancho,department,HN
HN-SB,Santa Bárbara,department,HN
HN-VA,Valle,department,HN
HN-YO,Yoro,department,HN
HR-01,Zagreb County,county,HR
HR-02,Krapina-Zagorje,county,HR
HR-03,Sisak-Moslavina,county,HR
HR-04,Karlovac,county,HR
HR-05,Varaždin,county,HR
HR-06,Koprivnica-Križevci,county,HR
HR-07,Bjelovar-Bilogora,county,HR
HR-08,Primorje-Gorski Kotar,county,HR
HR-09,Lika-Senj,county,HR
HR-10,Virovitica-Podravina,county,HR
HR-11,Požega-Slavonia,county,HR
HR-12,Brod-Posavina,county,HR
HR-13,Zadar,county,HR
HR-14,Osijek-Baranja,county,HR
HR-15,Šibenik-Knin,county,HR
HR-16,Vukovar-Srijem,county,HR
HR-17,Split-Dalmatia,county,HR
HR-18,Istria,county,HR
HR-19,Dubrovnik-Neretva,county,HR
HR-20,Međimurje,county,HR
HR-21,Zagreb City,city,HR
HT-AR,Artibonite,department,HT
HT-CE,Centre,department,HT
HT-GA,Grand’Anse,department,HT
HT-ND,Nord,department,HT
HT-NE,Nord-Est,department,HT
HT-NI,Nippes,department,HT
HT-NO,Nord-Ouest,department,HT
HT-OU,Ouest,department,HT
HT-SD,Sud,department,HT
HT-SE,Sud-Est,department,HT
HU-BA,Baranya,county,HU
HU-BE,Békés,county,HU
HU-BK,Bács-Kiskun,county,HU
HU-BU,Budapest,capital city,HU
HU-BZ,Borsod-Abaúj-Zemplén,county,HU
HU-CS,Csongrád,county,HU
HU-FE,Fejér,county,HU
HU-GS,Győr-Moson-Sopron,county,HU
HU-HB,Hajdú-Bihar,county,HU
HU-HE,Heves,county,HU
HU-JN,Jász-Nagykun-Szolnok,county,HU
HU-KE,Komárom-Esztergom,county,HU
HU-NO,Nógrád,county,HU
HU-PE,Pest,county,HU
HU-SO,Somogy,county,HU
HU-SZ,Szabolcs-Szatmár-Bereg,county,HU
HU-TO,Tolna,county,HU
HU-VA,Vas,county,HU
HU-VE,Veszprém,county,HU
HU-ZA,Zala,county,HU
ID-AC,Aceh,province,ID
ID-BA,Bali,province,ID
ID-BB,Bangka–Belitung Islands,province,ID
ID-BE,Bengkulu,province,ID
ID-BT,Banten,province,ID
ID-GO,Gorontalo,province,ID
ID-JA,Jambi,province,ID
ID-JB,West Java,province,ID
ID-JI,East Java,province,ID
ID-JK,Jakarta,capital district,ID
ID-JT,Central Java,province,ID
ID-KB,West Kalimantan,province,ID
ID-KI,East Kalimantan,province,ID
ID-KR,Riau Islands,province,ID
ID-KS,South Kalimantan,province,ID
ID-KT,Central Kalimantan,province,ID
ID-KU,North Kalimantan,province,ID
ID-LA,Lampung,province,ID
ID-MA,Maluku,province,ID
ID-MU,North Maluku,province,ID
ID-NB,West Nusa Tenggara,province,ID
ID-NT,East Nusa Tenggara,province,ID
ID-PA,Papua,province,ID
ID-PB,West Papua,province,ID
ID-RI,Riau,province,ID
ID-SA,North Sulawesi,province,ID
ID-SB,West Sumatra,province,ID
ID-SG,Southeast Sulawesi,province,ID
ID-SN,South Sulawesi,province,ID
ID-SR,West Sulawesi,province,ID
ID-SS,South Sumatra,province,ID
ID-ST,Central Sulawesi,province,ID
ID-SU,North Sumatra,province,ID
ID-YO,Yogyakarta,special region,ID
IE-C,Connacht,province,IE
IE-L,Leinster,province,IE
IE-M,Munster,province,IE
IE-U,Ulster,province,IE
IL-D,Southern District,district,IL
IL-HA,Haifa,district,IL
IL-JM,Jerusalem,district,IL
IL-M,Central District,district,IL
IL-TA,Tel Aviv,district,IL
IL-Z,Northern District,district,IL
IM,(No regions),,IM
IN-AN,Andaman and Nicobar Islands,union territory,IN
IN-AN,Andaman and Nicobar Islands,union territory,IN
IN-AP,Andhra Pradesh,state,IN
IN-AP,Andhra Pradesh,state,IN
IN-AR,Arunachal Pradesh,state,IN
IN-AR,Arunachal Pradesh,state,IN
IN-AS,Assam,state,IN
IN-AS,Assam,state,IN
IN-BR,Bihar,state,IN
IN-BR,Bihar,state,IN
IN-CH,Chandigarh,union territory,IN
IN-CH,Chandigarh,union territory,IN
IN-CT,Chhattisgarh,state,IN
IN-CT,Chhattisgarh[note 1],state,IN
IN-DD,Daman and Diu,union territory,IN
IN-DD,Daman and Diu,union territory,IN
IN-DL,Delhi,union territory,IN
IN-DL,Delhi,union territory,IN
IN-DN,Dadra and Nagar Haveli,union territory,IN
IN-DN,Dadra and Nagar Haveli,union territory,IN
IN-GA,Goa,state,IN
IN-GA,Goa,state,IN
IN-GJ,Gujarat,state,IN
IN-GJ,Gujarat,state,IN
IN-HP,Himachal Pradesh,state,IN
IN-HP,Himachal Pradesh,state,IN
IN-HR,Haryana,state,IN
IN-HR,Haryana,state,IN
IN-JH,Jharkhand,state,IN
IN-JH,Jharkhand,state,IN
IN-JK,Jammu and Kashmir,state,IN
IN-JK,Jammu and Kashmir,state,IN
IN-KA,Karnataka,state,IN
IN-KA,Karnataka,state,IN
IN-KL,Kerala,state,IN
IN-KL,Kerala,state,IN
IN-LD,Lakshadweep,union territory,IN
IN-LD,Lakshadweep,union territory,IN
IN-MH,Maharashtra,state,IN
IN-MH,Maharashtra,state,IN
IN-ML,Meghalaya,state,IN
IN-ML,Meghalaya,state,IN
IN-MN,Manipur,state,IN
IN-MN,Manipur,state,IN
IN-MP,Madhya Pradesh,state,IN
IN-MP,Madhya Pradesh,state,IN
IN-MZ,Mizoram,state,IN
IN-MZ,Mizoram,state,IN
IN-NL,Nagaland,state,IN
IN-NL,Nagaland,state,IN
IN-OR,Odisha,state,IN
IN-OR,Odisha[note 2],state,IN
IN-PB,Punjab,state,IN
IN-PB,Punjab,state,IN
IN-PY,Puducherry,union territory,IN
IN-PY,Puducherry,union territory,IN
IN-RJ,Rajasthan,state,IN
IN-RJ,Rajasthan,state,IN
IN-SK,Sikkim,state,IN
IN-SK,Sikkim,state,IN
IN-TG,Telangana,state,IN
IN-TG,Telangana[note 3],state,IN
IN-TN,Tamil Nadu,state,IN
IN-TN,Tamil Nadu,state,IN
IN-TR,Tripura,state,IN
IN-TR,Tripura,state,IN
IN-UP,Uttar Pradesh,state,IN
IN-UP,Uttar Pradesh,state,IN
IN-UT,Uttarakhand,state,IN
IN-UT,Uttarakhand[note 4],state,IN
IN-WB,West Bengal,state,IN
IN-WB,West Bengal,state,IN
IO,(No regions),,IO
IQ-AN,Al Anbār,governorate,IQ
IQ-AR,Arbīl (Hewlêr),governorate,IQ
IQ-BA,Al Başrah,governorate,IQ
IQ-BB,Bābil,governorate,IQ
IQ-BG,Baghdād,governorate,IQ
IQ-DA,Dahūk (Dihok),governorate,IQ
IQ-DI,Diyālá,governorate,IQ
IQ-DQ,Dhī Qār,governorate,IQ
IQ-KA,Karbalā’,governorate,IQ
IQ-KI,Kirkūk,governorate,IQ
IQ-MA,Maysān,governorate,IQ
IQ-MU,Al Muthanná,governorate,IQ
IQ-NA,An Najaf,governorate,IQ
IQ-NI,Nīnawá,governorate,IQ
IQ-QA,Al Qādisīyah,governorate,IQ
IQ-SD,Şalāḩ ad Dīn,governorate,IQ
IQ-SU,As Sulaymānīyah (Slêmanî),governorate,IQ
IQ-WA,Wāsiţ,governorate,IQ
IR-01,Āz̄arbāyjān-e Sharqī,province,IR
IR-02,Āz̄arbāyjān-e Gharbī,province,IR
IR-03,Ardabīl,province,IR
IR-04,Eşfahān,province,IR
IR-05,Īlām,province,IR
IR-06,Būshehr,province,IR
IR-07,Tehrān,province,IR
IR-08,Chahār Maḩāl va Bakhtīārī,province,IR
IR-10,Khūzestān,province,IR
IR-11,Zanjān,province,IR
IR-12,Semnān,province,IR
IR-13,Sīstān va Balūchestān,province,IR
IR-14,Fārs,province,IR
IR-15,Kermān,province,IR
IR-16,Kordestān,province,IR
IR-17,Kermānshāh,province,IR
IR-18,Kohgīlūyeh va Bowyer Aḩmad,province,IR
IR-19,Gīlān,province,IR
IR-20,Lorestān,province,IR
IR-21,Māzandarān,province,IR
IR-22,Markazī,province,IR
IR-23,Hormozgān,province,IR
IR-24,Hamadān,province,IR
IR-25,Yazd,province,IR
IR-26,Qom,province,IR
IR-27,Golestān,province,IR
IR-28,Qazvīn,province,IR
IR-29,Khorāsān-e Jonūbī,province,IR
IR-30,Khorāsān-e Raẕavī,province,IR
IR-31,Khorāsān-e Shomālī,province,IR
IR-32,Alborz,province,IR
IS-1,Höfuðborgarsvæði,region,IS
IS-2,Suðurnes,region,IS
IS-3,Vesturland,region,IS
IS-4,Vestfirðir,region,IS
IS-5,Norðurland vestra,region,IS
IS-6,Norðurland eystra,region,IS
IS-7,Austurland,region,IS
IS-8,Suðurland,region,IS
IT-21,Piedmont,region,IT
IT-23,Aosta Valley,region,IT
IT-25,Lombardy,region,IT
IT-32,Trentino-South Tyrol,region,IT
IT-34,Veneto,region,IT
IT-36,Friuli-Venezia Giulia,region,IT
IT-42,Liguria,region,IT
IT-45,Emilia-Romagna,region,IT
IT-52,Tuscany,region,IT
IT-55,Umbria,region,IT
IT-57,Marche,region,IT
IT-62,Lazio,region,IT
IT-65,Abruzzo,region,IT
IT-67,Molise,region,IT
IT-72,Campania,region,IT
IT-75,Apulia,region,IT
IT-77,Basilicata,region,IT
IT-78,Calabria,region,IT
IT-82,Sicily,region,IT
IT-88,Sardinia,region,IT
JE,(No regions),,JE
JM-01,Kingston,parish,JM
JM-02,Saint Andrew,parish,JM
JM-03,Saint Thomas,parish,JM
JM-04,Portland,parish,JM
JM-05,Saint Mary,parish,JM
JM-06,Saint Ann,parish,JM
JM-07,Trelawny,parish,JM
JM-08,Saint James,parish,JM
JM-09,Hanover,parish,JM
JM-10,Westmoreland,parish,JM
JM-11,Saint Elizabeth,parish,JM
JM-12,Manchester,parish,JM
JM-13,Clarendon,parish,JM
JM-14,Saint Catherine,parish,JM
JO-AJ,‘Ajlūn,governorate,JO
JO-AM,Al ‘A̅şimah,governorate,JO
JO-AQ,Al ‘Aqabah,governorate,JO
JO-AT,Aţ Ţafīlah,governorate,JO
JO-AZ,Az Zarqā’,governorate,JO
JO-BA,Al Balqā’,governorate,JO
JO-IR,Irbid,governorate,JO
JO-JA,Jarash,governorate,JO
JO-KA,Al Karak,governorate,JO
JO-MA,Al Mafraq,governorate,JO
JO-MD,Mādabā,governorate,JO
JO-MN,Ma‘ān,governorate,JO
JP-01,Hokkaido,prefecture,JP
JP-02,Aomori,prefecture,JP
JP-03,Iwate,prefecture,JP
JP-04,Miyagi,prefecture,JP
JP-05,Akita,prefecture,JP
JP-06,Yamagata,prefecture,JP
JP-07,Fukushima,prefecture,JP
JP-08,Ibaraki,prefecture,JP
